# Time-averaged data for fix aveRg
# TimeStep c_Rg
20000 24.7015
30000 23.8831
40000 23.2328
50000 22.7758
60000 22.4204
70000 22.0847
80000 21.7297
90000 21.4213
100000 21.1289
110000 20.8876
120000 20.6051
130000 20.3329
140000 20.1045
150000 19.8638
160000 19.6342
170000 19.4149
180000 19.2263
190000 19.0351
200000 18.8368
210000 18.6594
220000 18.487
230000 18.3288
240000 18.1831
250000 18.0267
260000 17.8683
270000 17.71
280000 17.5564
290000 17.4059
300000 17.2683
310000 17.1359
320000 17.0002
330000 16.8536
340000 16.7123
350000 16.5762
360000 16.4538
370000 16.3312
380000 16.2147
390000 16.0913
400000 15.9727
410000 15.863
420000 15.759
430000 15.6646
440000 15.5773
450000 15.4964
460000 15.4168
470000 15.3357
480000 15.2589
490000 15.1805
500000 15.1117
510000 15.0511
520000 14.9953
530000 14.9389
540000 14.8821
550000 14.8249
560000 14.764
570000 14.7064
580000 14.6509
590000 14.5966
600000 14.5383
610000 14.4848
620000 14.4382
630000 14.3985
640000 14.3583
650000 14.3229
660000 14.2833
670000 14.2375
680000 14.1876
690000 14.1369
700000 14.0902
710000 14.0491
720000 14.0113
730000 13.9727
740000 13.9314
750000 13.8866
760000 13.8462
770000 13.8087
780000 13.7732
790000 13.7412
800000 13.7128
810000 13.6796
820000 13.6427
830000 13.605
840000 13.5658
850000 13.5285
860000 13.4923
870000 13.4576
880000 13.4244
890000 13.3914
900000 13.3589
910000 13.3268
920000 13.2956
930000 13.2657
940000 13.2359
950000 13.201
960000 13.1634
970000 13.1251
980000 13.0866
990000 13.0449
1000000 13.004
1010000 12.9657
1020000 12.926
1030000 12.8889
1040000 12.8523
1050000 12.8153
1060000 12.7792
1070000 12.7436
1080000 12.7074
1090000 12.6718
1100000 12.6358
1110000 12.6029
1120000 12.5705
1130000 12.539
1140000 12.5091
1150000 12.4777
1160000 12.443
1170000 12.4092
1180000 12.3777
1190000 12.3444
1200000 12.3124
1210000 12.28
1220000 12.247
1230000 12.2128
1240000 12.1798
1250000 12.1468
1260000 12.1132
1270000 12.0803
1280000 12.0473
1290000 12.0128
1300000 11.9786
1310000 11.9469
1320000 11.9135
1330000 11.8783
1340000 11.8415
1350000 11.8054
1360000 11.7671
1370000 11.7299
1380000 11.6949
1390000 11.6615
1400000 11.6278
1410000 11.5931
1420000 11.559
1430000 11.5258
1440000 11.4933
1450000 11.4608
1460000 11.4282
1470000 11.3947
1480000 11.3621
1490000 11.33
1500000 11.3001
1510000 11.272
1520000 11.2428
1530000 11.2125
1540000 11.179
1550000 11.1457
1560000 11.1133
1570000 11.0817
1580000 11.0507
1590000 11.0212
1600000 10.9918
1610000 10.9618
1620000 10.9309
1630000 10.8993
1640000 10.8656
1650000 10.831
1660000 10.7964
1670000 10.7598
1680000 10.7242
1690000 10.692
1700000 10.6618
1710000 10.6323
1720000 10.6021
1730000 10.5733
1740000 10.5446
1750000 10.5155
1760000 10.4876
1770000 10.4621
1780000 10.4388
1790000 10.4147
1800000 10.3909
1810000 10.3676
1820000 10.3432
1830000 10.3164
1840000 10.2899
1850000 10.2647
1860000 10.2399
1870000 10.215
1880000 10.1892
1890000 10.1652
1900000 10.1422
1910000 10.1195
1920000 10.0975
1930000 10.077
1940000 10.0542
1950000 10.0309
1960000 10.0083
1970000 9.98729
1980000 9.96823
1990000 9.94971
2000000 9.93093
2010000 9.91221
2020000 9.89341
2030000 9.87482
2040000 9.85667
2050000 9.83863
2060000 9.82013
2070000 9.80046
2080000 9.78271
2090000 9.76546
2100000 9.75002
2110000 9.73487
2120000 9.7198
2130000 9.70183
2140000 9.68554
2150000 9.67012
2160000 9.65497
2170000 9.63945
2180000 9.6246
2190000 9.60899
2200000 9.59289
2210000 9.57684
2220000 9.56006
2230000 9.54374
2240000 9.52783
2250000 9.51195
2260000 9.49682
2270000 9.48278
2280000 9.46833
2290000 9.45245
2300000 9.43696
2310000 9.42247
2320000 9.40672
2330000 9.39217
2340000 9.37751
2350000 9.36283
2360000 9.34736
2370000 9.33163
2380000 9.31509
2390000 9.29853
2400000 9.28362
2410000 9.26736
2420000 9.24969
2430000 9.23247
2440000 9.21585
2450000 9.19902
2460000 9.18211
2470000 9.16476
2480000 9.14818
2490000 9.13187
2500000 9.11572
2510000 9.09965
2520000 9.08404
2530000 9.06818
2540000 9.05226
2550000 9.03702
2560000 9.02371
2570000 9.0101
2580000 8.9955
2590000 8.98217
2600000 8.96893
2610000 8.95452
2620000 8.94107
2630000 8.92735
2640000 8.91259
2650000 8.8982
2660000 8.8843
2670000 8.8703
2680000 8.85567
2690000 8.84153
2700000 8.82775
2710000 8.81419
2720000 8.79992
2730000 8.78468
2740000 8.77021
2750000 8.75534
2760000 8.74011
2770000 8.72676
2780000 8.71412
2790000 8.70248
2800000 8.69204
2810000 8.68285
2820000 8.67386
2830000 8.66385
